Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BundlesCommandOptional.java",2,2,3,1,9,0,9,0,,,,,1,0,0,1,,2,2,2,2,,0,0,2,0,,50,7,22,15,6,21,,,,14,17,13,4,,,,,,2,2,3,1,,,1,,,,0.95,2,2,3,1
File,"BundlesMBean.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,16,16,0,16,,16,0,0,0,,154,19,20,19,0,115,,,,18,19,19,0,,,,,,0,0,0,0,,,0,,,,5.75,0,0,0,0
File,"BundlesMBeanImpl.java",2,2,2,1,12,1,10,0,,,,,1,0,0,19,,19,19,1,19,,0,0,0,19,,288,48,218,81,136,22,,,,116,172,86,86,,,,,,10,10,10,1,,,3,,,,0.10,50,50,50,19
File,"BundlesSelector.java",4,4,5,2,25,2,16,6,,,,,1,0,0,5,,5,5,1,5,,0,3,0,2,,169,22,95,38,59,52,,,,54,75,40,35,,,,,,9,9,13,5,,,5,,,,0.55,20,20,25,11
File,"BundlesTest.java",1,1,1,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,37,3,15,7,6,19,,,,10,12,6,6,,,,,,1,1,1,1,,,0,,,,1.27,1,1,1,1
File,"CancelCommand.java",1,1,1,1,5,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,2,0,,39,5,18,10,5,16,,,,9,12,7,5,,,,,,1,1,1,1,,,0,,,,0.89,2,2,2,2
File,"CancelCommand.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,30,4,10,6,2,16,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,1.60,1,1,1,1
File,"CatAction.java",4,4,4,1,26,2,21,3,,,,,1,0,0,2,,2,2,2,2,,0,1,1,0,,99,11,62,26,25,26,,,,31,42,24,18,,,,,,5,5,6,1,,,3,,,,0.42,8,8,9,2
File,"ChangeOptsCommand.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,2,1,,0,0,1,0,,35,5,14,10,3,16,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,1.14,1,1,1,1
File,"ChangeRmiRegistryPortCommand.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,2,1,,0,0,1,0,,36,6,14,10,4,16,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,1.14,1,1,1,1
File,"ChangeRmiServerPortCommand.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,36,6,14,10,4,16,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,1.14,1,1,1,1
File,"ChangeSshPortCommand.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,2,1,,0,0,1,0,,35,5,14,10,4,16,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,,1.14,1,1,1,1
File,"ChooseUrlCommand.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,4,3,,0,0,1,2,,60,10,31,19,9,19,,,,18,23,16,7,,,,,,3,3,3,1,,,1,,,,0.61,5,5,5,3
File,"Classes.java",3,3,3,1,12,0,12,0,,,,,1,0,0,2,,2,2,1,2,,0,0,2,0,,59,7,36,15,15,16,,,,16,26,15,11,,,,,,5,5,5,1,,,2,,,,0.44,7,7,7,2
File,"ClearAction.java",1,1,1,1,7,0,7,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,36,4,13,6,5,19,,,,8,10,5,5,,,,,,1,1,1,1,,,0,,,,1.46,1,1,1,1
File,"ClearLog.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,43,7,17,9,4,19,,,,8,12,8,4,,,,,,1,1,1,1,,,0,,,,1.12,3,3,3,3
File,"CloneCommand.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,8,1,,0,0,1,0,,61,13,29,25,7,19,,,,16,18,16,2,,,,,,1,1,1,1,,,0,,,,0.66,1,1,1,1
File,"CloseShellException.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,26,2,3,2,0,21,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,7.00,0,0,0,0
File,"ClosingEntryOutputStreamWrapper.java",1,1,1,1,6,0,3,3,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,75,9,27,16,5,39,,,,10,16,11,5,,,,,,1,1,1,1,,,0,,,,1.44,5,5,5,5
File,"Closure.java",4,4,5,1,25,2,22,0,,,,,2,0,4,22,,22,22,10,22,,0,9,0,13,,670,88,535,95,270,51,,,,192,301,102,199,,,,,,19,19,21,7,,,5,,,,0.10,103,99,117,42
File,"CmdHelpMojo.java",4,4,5,1,21,1,20,0,,,,,7,0,2,17,,17,17,8,17,,2,0,2,13,,494,46,390,104,246,59,,,,219,306,118,188,,,,,,20,20,26,5,,,5,,,,0.15,69,69,87,21
File,"Command.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,53,5,14,12,0,34,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,2.43,0,0,0,0
