Helper.java: CH.ifa.draw.contrib MDIDesktopPane.java: CH.ifa.draw.contrib 1->2: 18  2->1: 0
Drawing.java: CH.ifa.draw.framework NullDrawingView.java: CH.ifa.draw.standard 1->2: 131  2->1: 77
ZoomDrawingView.java: CH.ifa.draw.contrib.zoom ZoomTool.java: CH.ifa.draw.contrib.zoom 1->2: 27  2->1: 2
ZoomTool.java: CH.ifa.draw.contrib.zoom Tool.java: CH.ifa.draw.framework 1->2: 3  2->1: 11
Connector.java: CH.ifa.draw.framework ChangeConnectionStartHandle.java: CH.ifa.draw.standard 1->2: 7  2->1: 20
StandardLayouter.java: CH.ifa.draw.contrib Figure.java: CH.ifa.draw.framework 1->2: 0  2->1: 18
JHDTestCase.java: CH.ifa.draw.test UndoableHandleTest.java: CH.ifa.draw.test.util 1->2: 12  2->1: 2
CutCommand.java: CH.ifa.draw.standard UndoableAdapter.java: CH.ifa.draw.util 1->2: 0  2->1: 26
AllTests.java: CH.ifa.draw.test.samples.nothing AllTests.java: CH.ifa.draw.test.util.collections.jdk11 1->2: 11  2->1: 8
AllTests.java: CH.ifa.draw.test.figures AllTests.java: CH.ifa.draw.test.standard 1->2: 54  2->1: 35
JHDTestCase.java: CH.ifa.draw.test TextToolTest.java: CH.ifa.draw.test.figures 1->2: 13  2->1: 2
Undoable.java: CH.ifa.draw.util UndoCommand.java: CH.ifa.draw.util 1->2: 17  2->1: 0
UndoManager.java: CH.ifa.draw.util CollectionsFactory.java: CH.ifa.draw.util 1->2: 0  2->1: 26
MDIDesktopPane.java: CH.ifa.draw.contrib MDIDesktopPane.java: CH.ifa.draw.contrib 1->2: 8  2->1: 10
JScrollPaneDesktop.java: CH.ifa.draw.contrib DesktopEventService.java: CH.ifa.draw.contrib 1->2: 15  2->1: 49
DrawApplication.java: CH.ifa.draw.application Tool.java: CH.ifa.draw.framework 1->2: 31  2->1: 29
CompositeFigure.java: CH.ifa.draw.standard UndoableAdapter.java: CH.ifa.draw.util 1->2: 14  2->1: 6
AllTests.java: CH.ifa.draw.test.samples.nothing AllTests.java: CH.ifa.draw.test.samples.pert 1->2: 11  2->1: 8
Drawing.java: CH.ifa.draw.framework FigureChangeEventMulticasterTest.java: CH.ifa.draw.test.standard 1->2: 54  2->1: 0
PolygonFigure.java: CH.ifa.draw.contrib PolyLineFigure.java: CH.ifa.draw.figures 1->2: 63  2->1: 131
ShortestDistanceConnector.java: CH.ifa.draw.figures Figure.java: CH.ifa.draw.framework 1->2: 0  2->1: 15
DeleteCommand.java: CH.ifa.draw.standard Undoable.java: CH.ifa.draw.util 1->2: 0  2->1: 21
PertApplication.java: CH.ifa.draw.samples.pert PertApplicationTest.java: CH.ifa.draw.test.samples.pert 1->2: 24  2->1: 0
AllTests.java: CH.ifa.draw.test AllTests.java: CH.ifa.draw.test.util 1->2: 35  2->1: 42
FigureChangeEvent.java: CH.ifa.draw.framework FigureChangeEventMulticaster.java: CH.ifa.draw.standard 1->2: 38  2->1: 0
TriangleRotationHandle.java: CH.ifa.draw.contrib RadiusHandle.java: CH.ifa.draw.figures 1->2: 8  2->1: 10
TextAreaTool.java: CH.ifa.draw.contrib FigureEnumeration.java: CH.ifa.draw.framework 1->2: 0  2->1: 15
DragNDropTool.java: CH.ifa.draw.contrib.dnd DrawingEditor.java: CH.ifa.draw.framework 1->2: 0  2->1: 39
TextAreaFigure.java: CH.ifa.draw.contrib AttributeFigure.java: CH.ifa.draw.figures 1->2: 49  2->1: 92
GraphicalCompositeFigure.java: CH.ifa.draw.contrib SimpleLayouterTest.java: CH.ifa.draw.test.contrib 1->2: 50  2->1: 0
HandleEnumerator.java: CH.ifa.draw.standard HandleAndEnumeratorTest.java: CH.ifa.draw.test.standard 1->2: 32  2->1: 0
DrawingView.java: CH.ifa.draw.framework ElbowHandleTest.java: CH.ifa.draw.test.figures 1->2: 19  2->1: 0
ColorMapTest.java: CH.ifa.draw.test.util ColorMap.java: CH.ifa.draw.util 1->2: 0  2->1: 66
TextAreaTool.java: CH.ifa.draw.contrib TextAreaToolTest.java: CH.ifa.draw.test.contrib 1->2: 72  2->1: 0
ColorMap.java: CH.ifa.draw.util ColorMap.java: CH.ifa.draw.util 1->2: 32  2->1: 6
JavaDrawApplet.java: CH.ifa.draw.samples.javadraw BouncingDrawing.java: CH.ifa.draw.samples.javadraw 1->2: 0  2->1: 18
ChopPolygonConnector.java: CH.ifa.draw.contrib ChopPolygonConnectorTest.java: CH.ifa.draw.test.contrib 1->2: 30  2->1: 0
JHDTestCase.java: CH.ifa.draw.test MDIDesktopPaneTest.java: CH.ifa.draw.test.contrib 1->2: 13  2->1: 2
AbstractConnector.java: CH.ifa.draw.standard LocatorConnector.java: CH.ifa.draw.standard 1->2: 18  2->1: 11
LineConnection.java: CH.ifa.draw.figures StorableOutput.java: CH.ifa.draw.util 1->2: 13  2->1: 4
ListWrapperTest.java: CH.ifa.draw.test.util.collections.jdk11 ListWrapper.java: CH.ifa.draw.util.collections.jdk11 1->2: 0  2->1: 284
AbstractTool.java: CH.ifa.draw.standard UndoableTool.java: CH.ifa.draw.util 1->2: 84  2->1: 120
InsertImageCommand.java: CH.ifa.draw.figures UndoableAdapter.java: CH.ifa.draw.util 1->2: 0  2->1: 18
AllTests.java: CH.ifa.draw.test.figures AllTests.java: CH.ifa.draw.test.samples.net 1->2: 8  2->1: 35
JHDDragSourceListener.java: CH.ifa.draw.contrib.dnd DrawingView.java: CH.ifa.draw.framework 1->2: 4  2->1: 35
CompositeFigure.java: CH.ifa.draw.standard StorableOutput.java: CH.ifa.draw.util 1->2: 14  2->1: 7
FigureEnumerator.java: CH.ifa.draw.standard FigureAndEnumeratorTest.java: CH.ifa.draw.test.standard 1->2: 26  2->1: 0
Figure.java: CH.ifa.draw.framework PertFigure.java: CH.ifa.draw.samples.pert 1->2: 47  2->1: 50
AllTests.java: CH.ifa.draw.test.figures AllTests.java: CH.ifa.draw.test.samples.nothing 1->2: 8  2->1: 35
RoundRectangleFigure.java: CH.ifa.draw.figures BoxHandleKit.java: CH.ifa.draw.standard 1->2: 13  2->1: 2
OffsetLocator.java: CH.ifa.draw.standard StorableOutput.java: CH.ifa.draw.util 1->2: 13  2->1: 5
PolyLineFigure.java: CH.ifa.draw.figures StorableInput.java: CH.ifa.draw.util 1->2: 13  2->1: 10
DrawApplication.java: CH.ifa.draw.application ToolButton.java: CH.ifa.draw.standard 1->2: 24  2->1: 106
CustomToolBar.java: CH.ifa.draw.contrib CollectionsFactory.java: CH.ifa.draw.util 1->2: 0  2->1: 24
FigureChangeEvent.java: CH.ifa.draw.framework FigureChangeEventMulticasterTest.java: CH.ifa.draw.test.standard 1->2: 74  2->1: 0
DrawApplication.java: CH.ifa.draw.application NothingApp.java: CH.ifa.draw.samples.nothing 1->2: 45  2->1: 3
StandardDrawingView.java: CH.ifa.draw.standard CollectionsFactory.java: CH.ifa.draw.util 1->2: 1  2->1: 80
Drawing.java: CH.ifa.draw.framework StandardDrawingView.java: CH.ifa.draw.standard 1->2: 308  2->1: 77
PolygonFigure.java: CH.ifa.draw.contrib Geom.java: CH.ifa.draw.util 1->2: 20  2->1: 41
FigureChangeEvent.java: CH.ifa.draw.framework TextFigureTest.java: CH.ifa.draw.test.figures 1->2: 20  2->1: 0
MapWrapperTest.java: CH.ifa.draw.test.util.collections.jdk11 MapWrapper.java: CH.ifa.draw.util.collections.jdk11 1->2: 0  2->1: 143
DecoratorFigure.java: CH.ifa.draw.standard StorableOutput.java: CH.ifa.draw.util 1->2: 13  2->1: 5
DrawingView.java: CH.ifa.draw.framework UndoableCommandTest.java: CH.ifa.draw.test.util 1->2: 36  2->1: 0
JHDTestCase.java: CH.ifa.draw.test StandardVersionControlStrategyTest.java: CH.ifa.draw.test.util 1->2: 13  2->1: 2
StorableInput.java: CH.ifa.draw.util Storable.java: CH.ifa.draw.util 1->2: 10  2->1: 23
ConnectionTool.java: CH.ifa.draw.standard UndoableAdapter.java: CH.ifa.draw.util 1->2: 0  2->1: 18
Figure.java: CH.ifa.draw.framework GraphicalCompositeFigureTest.java: CH.ifa.draw.test.contrib 1->2: 94  2->1: 0
