Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BodyDeclaration.java",BodyDeclaration.java,1,1,1,1,8,0,3,5,,,,,1,0,0,4,,4,4,1,4,,2,0,0,2,,89,8,17,7,6,64,,,,7,12,7,5,,,,,,1,1,1,1,,,0,,,,3.76,4,4,4,4
File,"BooleanConstant.java",BooleanConstant.java,1,1,1,1,4,0,3,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,38,5,22,9,9,13,,,,9,16,9,7,,,,,,2,2,2,1,,,1,,,,0.59,6,6,6,5
File,"BooleanLiteral.java",BooleanLiteral.java,1,1,1,1,6,0,3,2,,,,,1,0,0,9,,9,9,1,9,,5,0,0,4,,114,13,36,13,15,65,,,,16,26,13,13,,,,,,1,1,1,1,,,0,,,,1.81,9,9,9,9
File,"BranchStatement.java",BranchStatement.java,2,2,2,2,11,0,8,2,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,67,6,41,13,20,20,,,,23,33,14,19,,,,,,5,5,5,5,,,3,,,,0.49,9,9,9,8
File,"BreakStatement.java",BreakStatement.java,1,1,1,1,7,0,4,3,,,,,1,0,0,9,,9,9,1,9,,5,0,0,4,,124,13,42,14,20,69,,,,18,29,14,15,,,,,,2,2,2,1,,,1,,,,1.64,11,11,11,9
File,"BreakStatement.java",BreakStatement.java,3,3,3,2,18,2,14,2,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,95,15,65,21,37,19,,,,31,45,15,30,,,,,,11,11,11,7,,,3,,,,0.29,15,15,15,10
File,"Buffer.java",Buffer.java,2,2,2,1,14,0,11,3,,,,,2,0,3,27,,27,27,8,27,,0,0,4,23,,433,13,315,78,206,117,,,,162,238,81,157,,,,,,8,8,9,6,,,4,,,,0.37,73,72,76,39
File,"BufferCache.java",BufferCache.java,1,1,1,1,9,0,4,4,,,,,1,0,0,4,,4,4,0,4,,0,0,2,2,,57,3,23,9,9,31,,,,10,16,9,7,,,,,,2,2,2,1,,,1,,,,1.35,5,5,5,4
File,"BufferChangedEvent.java",BufferChangedEvent.java,1,1,1,1,10,0,3,6,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,114,6,25,11,8,83,,,,13,19,11,8,,,,,,1,1,1,1,,,0,,,,3.32,5,5,5,5
File,"BufferFactoryWrapper.java",BufferFactoryWrapper.java,1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,51,6,28,13,10,18,,,,16,26,13,13,,,,,,3,3,3,3,,,1,,,,0.64,9,9,9,7
File,"BufferManager.java",BufferManager.java,1,1,1,1,10,0,6,4,,,,,1,1,2,8,,8,7,1,8,,0,0,2,6,,121,9,63,25,28,53,,,,29,44,25,19,,,,,,3,3,3,1,,,1,,,,0.84,14,14,14,8
File,"BuildNotifier.java",BuildNotifier.java,3,3,4,1,13,0,11,4,,,,,1,1,4,16,,16,15,11,16,,0,0,3,13,,276,27,202,58,132,74,,,,122,181,61,120,,,,,,17,17,21,15,,,5,,,,0.37,59,59,69,30
