project,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_cdsbp
nutch,Public Class,org.apache.nutch.crawl.LinkDb,4.0,4.0,4.0,1.0,19.0,0.0,18.0,0.0,3.0,13.0,0.0,,3.0,3.0,9.0,4.0,12.0,12.0,9.0,4.0,12.0,12.0,0.0,2.0,0.0,10.0,270,25,226,57,166,28,133,183,57,15.0,15.0,18.0,6.0,2.0,3,83.0,83.0,0.12,49,49,53,19,False
nutch,Public Class,org.apache.nutch.crawl.LinkDbFilter,5.0,5.0,6.0,1.0,21.0,0.0,21.0,2.0,2.0,4.0,0.0,,0.0,4.0,3.0,6.0,3.0,3.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,3.0,109,12,75,20,49,28,37,55,19,13.0,13.0,15.0,1.0,1.0,3,38.0,38.0,0.37,17,17,19,3,False
nutch,Public Class,org.apache.nutch.crawl.LinkDbMerger,2.0,2.0,2.0,1.0,11.0,1.0,9.0,0.0,3.0,6.0,0.0,,2.0,1.0,7.0,1.0,9.0,9.0,7.0,1.0,9.0,9.0,0.0,0.0,0.0,9.0,155,24,93,30,66,38,61,80,31,6.0,6.0,6.0,3.0,2.0,2,77.0,77.0,0.41,18,18,19,11,False
nutch,Public Class,org.apache.nutch.crawl.LinkDbReader,2.0,2.0,2.0,1.0,10.0,0.0,9.0,0.0,3.0,5.0,0.0,,1.0,2.0,8.0,3.0,9.0,9.0,8.0,3.0,9.0,9.0,0.0,0.0,0.0,9.0,132,19,96,24,63,17,51,73,25,7.0,7.0,7.0,5.0,2.0,4,77.0,48.0,0.18,20,20,20,13,False
nutch,Public Class,org.apache.nutch.crawl.MD5Signature,2.0,2.0,2.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,31,1,7,3,3,23,3,6,3,2.0,2.0,2.0,1.0,2.0,1,0.0,0.0,3.29,2,2,2,1,False
nutch,Public Class,org.apache.nutch.crawl.MapWritable,3.0,3.0,3.0,1.0,13.0,0.0,12.0,0.0,2.0,7.0,0.0,,1.0,3.0,24.0,7.0,25.0,25.0,24.0,7.0,25.0,25.0,0.0,7.0,0.0,18.0,485,62,381,99,245,43,204,288,99,9.0,9.0,9.0,4.0,1.0,4,82.0,70.0,0.11,75,75,78,42,False
nutch,Private Class,org.apache.nutch.crawl.MapWritable.ClassIdEntry,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,13,3,9,5,2,1,5,7,5,1.0,1.0,1.0,1.0,1.0,0,33.0,33.0,0.11,1,1,1,1,False
nutch,Private Class,org.apache.nutch.crawl.MapWritable.KeyValueEntry,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,4.0,33,8,24,11,8,1,12,18,11,2.0,2.0,3.0,1.0,1.0,1,70.0,60.0,0.04,5,5,6,4,False
nutch,Public Class,org.apache.nutch.crawl.NutchWritable,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,13.0,1.0,,0.0,1.0,3.0,0.0,3.0,6.0,3.0,0.0,3.0,6.0,0.0,0.0,1.0,2.0,41,6,35,7,25,0,4,8,5,1.0,1.0,1.0,1.0,3.0,0,66.0,66.0,0.0,3,3,3,3,False
nutch,Public Abstract Class,org.apache.nutch.crawl.Signature,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,29,3,10,5,2,16,4,7,5,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.6,2,2,2,2,False
