Server.java: org.apache.hadoop.ipc TestIPC.java: org.apache.hadoop.ipc 1->2: 51  2->1: 4
TaskStatus.java: org.apache.hadoop.mapred TaskTrackerStatus.java: org.apache.hadoop.mapred 1->2: 51  2->1: 8
DFSFileInfo.java: org.apache.hadoop.dfs ClientProtocol.java: org.apache.hadoop.dfs 1->2: 8  2->1: 10
Configuration.java: org.apache.hadoop.conf TestWritable.java: org.apache.hadoop.record.test 1->2: 51  2->1: 1
ReduceTask.java: org.apache.hadoop.mapred TaskUmbilicalProtocol.java: org.apache.hadoop.mapred 1->2: 1  2->1: 13
RecordWriter.java: org.apache.hadoop.record ToCpp.java: org.apache.hadoop.record.test 1->2: 15  2->1: 0
MapTask.java: org.apache.hadoop.mapred TaskTracker.java: org.apache.hadoop.mapred 1->2: 77  2->1: 24
CsvOutputArchive.java: org.apache.hadoop.record RecString.java: org.apache.hadoop.record.test 1->2: 12  2->1: 15
JobConf.java: org.apache.hadoop.mapred TestMiniMRWithDFS.java: org.apache.hadoop.mapred 1->2: 32  2->1: 0
OutputArchive.java: org.apache.hadoop.record RecString.java: org.apache.hadoop.record.test 1->2: 9  2->1: 10
UTF8.java: org.apache.hadoop.io TestTextInputFormat.java: org.apache.hadoop.mapred 1->2: 22  2->1: 0
OutputFormatBase.java: org.apache.hadoop.mapred JobConf.java: org.apache.hadoop.mapred 1->2: 0  2->1: 23
DataNode.java: org.apache.hadoop.dfs MiniDFSCluster.java: org.apache.hadoop.dfs 1->2: 33  2->1: 17
RecordWriter.java: org.apache.hadoop.record CsvOutputArchive.java: org.apache.hadoop.record 1->2: 12  2->1: 7
PipeMapper.java: org.apache.hadoop.streaming StreamJob.java: org.apache.hadoop.streaming 1->2: 25  2->1: 8
WritableComparator.java: org.apache.hadoop.io UTF8.java: org.apache.hadoop.io 1->2: 46  2->1: 9
WordCount.java: org.apache.hadoop.examples Path.java: org.apache.hadoop.fs 1->2: 0  2->1: 29
Reducer.java: org.apache.hadoop.mapred TestMapRed.java: org.apache.hadoop.mapred 1->2: 26  2->1: 0
Sort.java: org.apache.hadoop.examples JobClient.java: org.apache.hadoop.mapred 1->2: 1  2->1: 19
DFSShell.java: org.apache.hadoop.dfs FSDataInputStream.java: org.apache.hadoop.fs 1->2: 11  2->1: 5
FSDataInputStream.java: org.apache.hadoop.fs FileSystem.java: org.apache.hadoop.fs 1->2: 35  2->1: 40
