FigureEvent.java: org.jhotdraw.draw BidirectionalConnectionTool.java: org.jhotdraw.draw 1->2: 29  2->1: 2
SVGPathFigure.java: org.jhotdraw.samples.svg.figures DOMOutput.java: org.jhotdraw.xml 1->2: 15  2->1: 1
OpenAction.java: org.jhotdraw.app.action AbstractApplicationAction.java: org.jhotdraw.app.action 1->2: 0  2->1: 15
AbstractView.java: org.jhotdraw.app SVGView.java: org.jhotdraw.samples.svg 1->2: 37  2->1: 17
ODGBezierFigure.java: org.jhotdraw.samples.odg.figures ODGPathFigure.java: org.jhotdraw.samples.odg.figures 1->2: 76  2->1: 20
Application.java: org.jhotdraw.app PrintAction.java: org.jhotdraw.app.action 1->2: 30  2->1: 2
AbstractCompositeFigure.java: org.jhotdraw.draw CompositeFigure.java: org.jhotdraw.draw 1->2: 95  2->1: 211
Figure.java: org.jhotdraw.draw SelectionTool.java: org.jhotdraw.draw 1->2: 12  2->1: 15
AttributeKey.java: org.jhotdraw.draw DefaultSVGFigureFactory.java: org.jhotdraw.samples.svg.io 1->2: 108  2->1: 0
ImageOutputFormat.java: org.jhotdraw.draw SVGView.java: org.jhotdraw.samples.svg 1->2: 30  2->1: 14
StickyRectangleConnector.java: org.jhotdraw.draw Geom.java: org.jhotdraw.geom 1->2: 13  2->1: 42
ToolEvent.java: org.jhotdraw.draw SelectionTool.java: org.jhotdraw.draw 1->2: 23  2->1: 2
